customer_id,service_quality_rating,product_satisfaction_rating,ease_of_use_rating,overall_satisfaction_rating
45,4,2,4,2
26,4,4,3,3
24,4,2,5,3
14,4,2,2,5
41,1,2,1,4
64,5,4,1,1
45,4,2,5,3
92,5,5,1,3
41,5,5,1,5
56,5,3,1,2
55,4,5,2,2
35,5,5,1,5
62,2,2,3,3
35,5,5,5,1
31,1,1,4,2
48,4,2,2,4
23,3,1,3,3
13,4,4,2,4
38,3,3,1,4
52,2,3,4,3
41,1,4,1,1
87,5,1,1,2
42,1,2,4,2
7,5,1,3,5
14,1,3,4,5
7,5,1,3,1
87,3,3,1,1
38,3,2,3,2
35,2,5,4,5
91,3,4,4,3
38,3,2,1,3
99,2,5,1,5
39,1,3,1,1
10,2,5,1,1
46,4,1,3,4
48,2,4,5,5
45,1,4,4,5
73,4,3,5,2
61,5,3,3,4
95,3,4,2,4
64,5,3,5,1
37,1,1,5,4
9,2,4,4,1
91,3,1,4,3
47,1,3,5,1
67,5,4,4,5
37,1,1,3,2
25,4,4,2,5
58,1,3,4,3
74,3,5,5,5
13,5,3,3,1
53,1,2,5,1
56,1,5,1,1
26,3,1,2,4
29,3,1,5,4
10,2,1,5,3
32,3,1,3,4
61,4,4,4,2
51,5,3,4,1
75,3,5,5,1
72,5,2,3,2
94,2,2,5,5
68,5,1,1,2
90,2,2,3,1
26,1,4,4,2
27,2,2,1,1
76,1,2,3,4
28,5,3,2,2
5,5,5,2,2
93,1,5,3,1
17,2,4,4,4
24,2,4,4,1
74,4,2,4,2
84,2,4,2,4
100,4,1,4,3
13,4,4,3,1
71,3,2,1,5
78,3,1,5,2
14,1,2,4,1
10,4,1,2,1
49,4,1,4,4
74,4,4,3,2
89,3,2,5,3
45,5,5,4,1
88,4,1,3,3
20,5,1,2,2
61,4,1,5,5
21,5,5,4,1
13,3,4,4,3
22,4,1,2,2
66,3,5,2,1
100,1,4,1,3
73,2,4,2,4
83,4,4,2,1
49,2,1,2,1
13,4,3,1,5
95,1,4,3,4
98,1,3,1,5
50,4,5,4,4
33,2,4,5,2
