account_id,transaction_type,transaction_amount,transaction_date
27,Debit,1680.49,2024-09-12 10:11:39.037889
15,Debit,913.53,2024-09-18 10:11:39.037889
150,Debit,4515.06,2024-10-10 10:11:39.037889
86,Debit,1604.86,2024-09-23 10:11:39.037889
7,Debit,4033.4,2024-09-11 10:11:39.037889
137,Debit,402.18,2024-10-19 10:11:39.037889
18,Debit,2627.05,2024-10-28 10:11:39.037889
29,Debit,685.0,2024-09-10 10:11:39.037889
94,Debit,1834.58,2024-10-11 10:11:39.037889
115,Debit,2052.08,2024-10-08 10:11:39.037889
132,Debit,3004.38,2024-10-14 10:11:39.037889
135,Debit,1253.72,2024-09-24 10:11:39.037889
81,Debit,2791.37,2024-10-27 10:11:39.037889
136,Debit,4378.02,2024-10-06 10:11:39.037889
74,Debit,4251.28,2024-10-19 10:11:39.037889
181,Debit,143.62,2024-09-30 10:11:39.037889
123,Debit,4207.0,2024-10-19 10:11:39.037889
146,Debit,4868.15,2024-10-25 10:11:39.037889
39,Debit,502.47,2024-09-24 10:11:39.037889
88,Debit,4303.67,2024-11-03 10:11:39.037889
139,Debit,1322.62,2024-10-09 10:11:39.037889
37,Debit,479.5,2024-10-28 10:11:39.037889
30,Debit,4920.5,2024-10-15 10:11:39.037889
124,Debit,1822.32,2024-10-31 10:11:39.037889
16,Debit,2539.67,2024-10-26 10:11:39.037889
51,Debit,3329.6,2024-10-25 10:11:39.037889
29,Debit,1943.0,2024-10-18 10:11:39.037889
145,Debit,4894.7,2024-10-15 10:11:39.037889
91,Debit,4461.14,2024-10-03 10:11:39.037889
161,Debit,2335.86,2024-09-22 10:11:39.037889
24,Debit,2288.51,2024-10-26 10:11:39.037889
169,Debit,461.35,2024-09-09 10:11:39.037889
121,Debit,1269.56,2024-10-02 10:11:39.037889
32,Debit,512.61,2024-09-12 10:11:39.037889
193,Debit,3777.68,2024-10-29 10:11:39.037889
147,Debit,534.67,2024-10-27 10:11:39.037889
185,Debit,3098.75,2024-10-29 10:11:39.037889
25,Debit,2977.91,2024-10-31 10:11:39.037889
34,Debit,3003.52,2024-09-22 10:11:39.037889
65,Debit,3616.79,2024-09-18 10:11:39.037889
15,Debit,2323.61,2024-10-09 10:11:39.037889
169,Debit,540.93,2024-09-08 10:11:39.037889
159,Debit,4662.25,2024-10-11 10:11:39.037889
121,Debit,4669.9,2024-10-02 10:11:39.037889
183,Debit,2399.02,2024-09-12 10:11:39.037889
68,Debit,386.04,2024-09-28 10:11:39.037889
171,Debit,4099.43,2024-09-21 10:11:39.037889
37,Debit,4014.92,2024-10-21 10:11:39.037889
40,Debit,1077.74,2024-09-30 10:11:39.037889
195,Debit,3946.51,2024-10-27 10:11:39.037889
180,Debit,1732.67,2024-10-01 10:11:39.037889
56,Debit,221.04,2024-10-08 10:11:39.037889
48,Debit,2545.93,2024-09-10 10:11:39.037889
157,Debit,3872.73,2024-09-08 10:11:39.037889
31,Debit,3470.65,2024-09-07 10:11:39.037889
70,Debit,3136.11,2024-10-10 10:11:39.037889
72,Debit,3598.11,2024-10-08 10:11:39.037889
151,Debit,137.32,2024-10-10 10:11:39.037889
5,Debit,3468.06,2024-10-18 10:11:39.037889
42,Debit,2295.02,2024-10-22 10:11:39.037889
150,Debit,522.56,2024-10-24 10:11:39.037889
36,Debit,2229.56,2024-10-03 10:11:39.037889
37,Debit,2432.76,2024-09-13 10:11:39.037889
181,Debit,1710.55,2024-10-11 10:11:39.037889
174,Debit,3722.8,2024-10-12 10:11:39.037889
6,Debit,1910.71,2024-09-30 10:11:39.037889
149,Debit,2902.2,2024-10-14 10:11:39.037889
128,Debit,4527.58,2024-10-30 10:11:39.037889
176,Debit,1956.81,2024-09-30 10:11:39.037889
40,Debit,4072.84,2024-10-29 10:11:39.037889
154,Debit,4483.83,2024-09-24 10:11:39.037889
199,Debit,3918.21,2024-10-29 10:11:39.037889
114,Debit,4407.03,2024-09-15 10:11:39.037889
116,Debit,1935.59,2024-10-25 10:11:39.037889
174,Debit,2694.57,2024-09-28 10:11:39.037889
8,Debit,1598.03,2024-09-07 10:11:39.037889
179,Debit,4118.62,2024-09-18 10:11:39.037889
102,Debit,2374.81,2024-10-25 10:11:39.037889
31,Debit,4092.04,2024-09-12 10:11:39.037889
142,Debit,1566.33,2024-10-22 10:11:39.037889
58,Debit,288.39,2024-09-13 10:11:39.037889
49,Debit,3366.68,2024-09-15 10:11:39.037889
163,Debit,586.73,2024-09-24 10:11:39.037889
81,Debit,2036.92,2024-10-11 10:11:39.037889
128,Debit,4336.32,2024-09-24 10:11:39.037889
81,Debit,2517.21,2024-09-06 10:11:39.037889
186,Debit,2304.16,2024-09-13 10:11:39.037889
185,Debit,1836.82,2024-09-06 10:11:39.037889
124,Debit,1848.0,2024-09-08 10:11:39.037889
81,Debit,4935.44,2024-10-01 10:11:39.037889
30,Debit,544.5,2024-10-13 10:11:39.037889
14,Debit,3379.92,2024-10-30 10:11:39.037889
156,Debit,2063.62,2024-10-05 10:11:39.037889
127,Debit,4060.8,2024-09-12 10:11:39.037889
150,Debit,2087.52,2024-10-16 10:11:39.037889
110,Debit,2252.19,2024-10-09 10:11:39.037889
117,Debit,2013.85,2024-10-01 10:11:39.037889
174,Debit,411.84,2024-11-03 10:11:39.037889
18,Debit,4634.01,2024-09-12 10:11:39.037889
151,Debit,4696.86,2024-10-14 10:11:39.037889
130,Debit,3620.61,2024-09-17 10:11:39.037889
74,Debit,2173.86,2024-10-26 10:11:39.037889
146,Debit,641.6,2024-09-14 10:11:39.037889
118,Debit,1322.88,2024-10-03 10:11:39.037889
181,Debit,359.92,2024-10-15 10:11:39.037889
85,Debit,1222.29,2024-09-23 10:11:39.037889
170,Debit,4357.64,2024-10-15 10:11:39.037889
87,Debit,4010.02,2024-10-13 10:11:39.037889
155,Debit,4272.27,2024-11-03 10:11:39.037889
101,Debit,2548.25,2024-09-26 10:11:39.037889
133,Debit,3974.68,2024-10-31 10:11:39.037889
20,Debit,658.09,2024-09-25 10:11:39.037889
56,Debit,2927.95,2024-09-13 10:11:39.037889
45,Debit,3436.07,2024-09-15 10:11:39.037889
37,Debit,1800.36,2024-09-19 10:11:39.037889
73,Debit,89.0,2024-10-10 10:11:39.037889
12,Debit,4233.33,2024-09-21 10:11:39.037889
151,Debit,1060.47,2024-09-18 10:11:39.037889
185,Debit,3684.34,2024-09-14 10:11:39.037889
102,Debit,4284.99,2024-09-23 10:11:39.037889
158,Debit,4487.95,2024-09-13 10:11:39.037889
85,Debit,3603.22,2024-10-05 10:11:39.037889
173,Debit,943.23,2024-10-18 10:11:39.037889
123,Debit,2646.06,2024-10-27 10:11:39.037889
190,Debit,181.62,2024-11-02 10:11:39.037889
114,Debit,1405.62,2024-09-05 10:11:39.037889
44,Debit,4817.13,2024-09-05 10:11:39.037889
11,Debit,170.24,2024-10-16 10:11:39.037889
105,Debit,2176.71,2024-10-31 10:11:39.037889
120,Debit,4821.67,2024-10-19 10:11:39.037889
34,Debit,882.96,2024-10-04 10:11:39.037889
79,Debit,899.66,2024-09-27 10:11:39.037889
35,Debit,398.55,2024-09-30 10:11:39.037889
143,Debit,3245.98,2024-09-10 10:11:39.037889
162,Debit,2615.72,2024-10-14 10:11:39.037889
41,Debit,175.25,2024-10-22 10:11:39.037889
59,Debit,301.73,2024-11-01 10:11:39.037889
98,Debit,4479.36,2024-11-03 10:11:39.037889
104,Debit,327.46,2024-09-08 10:11:39.037889
183,Debit,358.13,2024-10-23 10:11:39.037889
158,Debit,3737.85,2024-10-01 10:11:39.037889
105,Debit,4190.79,2024-10-21 10:11:39.037889
150,Debit,2493.58,2024-10-04 10:11:39.037889
26,Debit,3806.28,2024-10-06 10:11:39.037889
107,Debit,863.92,2024-10-21 10:11:39.037889
17,Debit,2900.81,2024-09-29 10:11:39.037889
37,Debit,78.83,2024-11-03 10:11:39.037889
14,Debit,202.06,2024-10-19 10:11:39.037889
48,Debit,4229.27,2024-10-15 10:11:39.037889
85,Debit,134.66,2024-11-03 10:11:39.037889
192,Debit,1594.57,2024-10-30 10:11:39.037889
141,Debit,2926.36,2024-10-19 10:11:39.037889
80,Debit,1671.0,2024-09-30 10:11:39.037889
70,Debit,3189.41,2024-09-30 10:11:39.037889
107,Debit,2535.52,2024-10-28 10:11:39.037889
107,Debit,954.15,2024-10-24 10:11:39.037889
48,Debit,676.37,2024-09-28 10:11:39.037889
76,Debit,3018.62,2024-09-24 10:11:39.037889
186,Debit,1001.31,2024-09-28 10:11:39.037889
150,Debit,1131.56,2024-10-20 10:11:39.037889
51,Debit,3308.02,2024-10-10 10:11:39.037889
192,Debit,1933.47,2024-11-01 10:11:39.037889
34,Debit,1831.66,2024-09-30 10:11:39.037889
192,Debit,1526.31,2024-09-08 10:11:39.037889
81,Debit,4818.69,2024-09-07 10:11:39.037889
35,Debit,3248.4,2024-09-29 10:11:39.037889
65,Debit,1025.41,2024-10-19 10:11:39.037889
