customer_id,alert_type,alert_date,alert_resolution_status
38,Account Compromise,2024-09-05 10:11:39.037889,Pending
90,Suspicious Login,2024-09-28 10:11:39.037889,Resolved
53,Unusual Transaction,2024-10-25 10:11:39.037889,Pending
14,Unusual Transaction,2024-09-27 10:11:39.037889,Resolved
31,Account Compromise,2024-10-10 10:11:39.037889,Pending
14,Unusual Transaction,2024-10-11 10:11:39.037889,Pending
30,Suspicious Login,2024-11-03 10:11:39.037889,Resolved
20,Account Compromise,2024-10-14 10:11:39.037889,Pending
34,Suspicious Login,2024-10-19 10:11:39.037889,Pending
12,Unusual Transaction,2024-11-03 10:11:39.037889,Pending
93,Unusual Transaction,2024-09-24 10:11:39.037889,Resolved
46,Account Compromise,2024-10-04 10:11:39.037889,Pending
43,Suspicious Login,2024-10-27 10:11:39.037889,Pending
74,Suspicious Login,2024-09-28 10:11:39.037889,Resolved
10,Account Compromise,2024-10-12 10:11:39.037889,Pending
73,Unusual Transaction,2024-10-20 10:11:39.037889,Pending
2,Suspicious Login,2024-10-06 10:11:39.037889,Pending
52,Account Compromise,2024-09-18 10:11:39.037889,Pending
66,Suspicious Login,2024-09-29 10:11:39.037889,Resolved
35,Unusual Transaction,2024-10-18 10:11:39.037889,Resolved
97,Unusual Transaction,2024-10-30 10:11:39.037889,Pending
36,Unusual Transaction,2024-09-13 10:11:39.037889,Pending
20,Unusual Transaction,2024-09-26 10:11:39.037889,Pending
74,Unusual Transaction,2024-10-21 10:11:39.037889,Pending
5,Account Compromise,2024-10-07 10:11:39.037889,Pending
